model code|model description|price category|price|brand|body style|pricfrom|priceto|model year|incl_tax|active|deleted|mm code
1T332Z|TOURAN 1.6 TDI 77KW C/L DSG|TOURAN|             255217.00|V|Station wagon|20180401|99991231|2015|N|Y|N|0064065100
2CAA72|CADDY PANEL VAN 1.6 TDI 55KW|CADDY PANEL VAN|             244474.00|C|PANEL VAN|20170628|99991231|2015|N|Y|N|0064038065
2CAA85|CADDY PANEL VAN 1.6TDI 75KW|CADDY PANEL VAN|             262018.00|C|Panel Van|20170628|99991231|2015|N|Y|N|0064038070
2CBT85|CADDY 1.6 MAN TRENDLINE 75KW|CADDY|             320702.00|C|Station wagon|20170628|99991231|2015|N|Y|N|0000000000
2CHA82|CADDY MAXI PANEL VAN 1.6 TDI|CADDY PANEL VAN-MAXI|             267368.00|C|Panel Van|20170628|99991231|2015|N|Y|N|0064038075
4A2A9G|Audi A6 40 TDI 140kW S tronic|AUDI A6 SEDAN|             922347.83|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004086422
4A2AUA|Audi A6 45 TDI 183kW quattro tiptronic|AUDI A6 SEDAN|            1103913.04|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004086521
4A2C9G|AUDI A6 40 TDI 140KW S LINE|AUDI A6 SEDAN|             992869.57|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004086513
4A2CUA|A6 45 TDI 183KW QUATTRO S LINE|AUDI A6 SEDAN|            1178260.87|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004086525
4A2SFA|Audi S6 TFSI 331kW quattro tiptronic|AUDI A6 SEDAN|            1406347.83|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004086672
4A2SFA|Audi S6 TFSI 331kW quattro tiptronic|AUDI A6 SEDAN|            1406347.83|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004086672
4A5RCA|Audi RS6 Avant 441kW quattro tiptronic|AUDI RS6 AVANT|            1992695.65|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004086701
4A5RCA|Audi RS6 Avant 441kW quattro tiptronic|AUDI RS6 AVANT|            1964955.65|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004086701
4A5RRA|Audi RS 6 Avant performance 463 kW tiptronic|AUDI RS6 AVANT|            2061130.43|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004086705
4A5RRA|Audi RS 6 Avant performance 463 kW tiptronic|AUDI RS6 AVANT|            2058695.65|A|SEDAN WITH CLOSED TO|20240403|99991231|2023|N|Y|N|0004086705
4GC0IG|Audi A6 2.0 TDI 140kW S tronic|AUDI A6 SEDAN|             646086.96|A|SEDAN WITH CLOS|20190404|99991231|2017|N|Y|N|0004086421
4GC0IG|Audi A6 2.0 TDI 140kW S tronic|AUDI A6 SEDAN|             695217.39|A|SEDAN WITH CLOS|20190701|99991231|2018|N|Y|N|0004086421
4GDRAA|Audi RS 6 Avant 4.0 TFSI 412kW quattro tiptronic|AUDI RS6 AVANT|            1404347.83|A|STATION WAGON|20190404|99991231|2017|N|Y|N|0004086700
4GFRAA|Audi RS 7 Sportback 4.0 TFSI 412kW quattro tiptronic|AUDI RS7 SPORTBACK|            1624782.61|A|HATCH BACK|20190404|99991231|2017|N|Y|N|0004088561
4KA02Y|Audi A7 55 TFSI 250kW quattro tiptronic|AUDI A7|            1302000.00|A|Hatch Back|20240402|99991231|2023|N|Y|N|0004088321
4KA02Y|Audi A7 55 TFSI 250kW quattro tiptronic|AUDI A7|            1333217.39|A|Hatch Back|20240402|99991231|2024|N|Y|N|0004088321
4KARCA|Audi RS7 Sportback 441kW tiptronic|AUDI RS7 SPORTBACK|            2090434.78|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004088562
4KARCA|Audi RS7 Sportback 441kW tiptronic|AUDI RS7 SPORTBACK|            2090434.78|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004088562
4KARRA|Audi RS 7 Sportback performance 463 kW tiptronic|AUDI RS7 SPORTBACK|            2159043.48|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004088567
4KARRA|Audi RS 7 Sportback performance 463 kW tiptronic|AUDI RS7 SPORTBACK|            2156695.65|A|HATCH BACK|20240403|99991231|2023|N|Y|N|0004088567
4KASFA|Audi S7 Sportback TFSI 331kW tiptronic|AUDI A7|            1505913.04|A|Hatch Back|20240402|99991231|2023|N|Y|N|0004088552
4KASFA|Audi S7 Sportback TFSI 331kW tiptronic|AUDI A7|            1505913.04|A|Hatch Back|20240402|99991231|2024|N|Y|N|0004088552
4MGAJ1|Audi Q7 45 TDI quattro 183kW tiptronic|AUDI Q7|            1340608.70|A|STATION WAGON|20240402|99991231|2023|N|Y|N|0004095103
4MGAJ1|AUDI Q7 45 TDI 183KW TIPTRONIC|AUDI Q7|            1323818.70|A|STATION WAGON|20240402|99991231|2024|N|Y|N|0004095103
4MGCJ1|Audi Q7 45 TDI 183kW quattro S line tiptronic|AUDI Q7|            1379739.13|A|STATION WAGON|20240402|99991231|2023|N|Y|N|0004095110
4MGCJ1_E01|Audi Q7 45 TDI Competition Edition quattro 183 kW tiptronic|AUDI Q7|            1447826.09|A|STATION WAGON|20240402|99991231|2023|N|Y|N|0004095110
4MGCJ1|AUDI Q7 45 TDI 183KW S LINE TI|AUDI Q7|            1362949.13|A|STATION WAGON|20240402|99991231|2024|N|Y|N|0004095110
4MN0J1|Audi Q8 45 TDI 183kW quattro tiptronic|AUDI Q8|            1500173.91|A|Hatch Back|20240402|99991231|2023|N|Y|N|0004097350
4MN0J1_E01|Audi Q8 45 TDI 183kW quattro S line Black tiptronic|AUDI Q8|            1574860.87|A|Hatch Back|20240402|99991231|2023|N|Y|N|0004097350
4MN0J1_E02|Audi Q8 45 TDI 183kW quattro S line Platinum tiptronic|AUDI Q8|            1570469.56|A|Hatch Back|20240402|99991231|2023|N|Y|N|0004097350
4MN0J1|AUDI Q8 45 TDI 183KW QUATTRO T|AUDI Q8|            1483821.91|A|Hatch Back|20240402|99991231|2024|N|Y|N|0004097350
4MN0X2|Audi Q8 55 TFSI 250kW quattro tiptronic|AUDI Q8|            1537913.04|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004097300
4MN0X2_E01|Audi Q8 55 TFSI 250kW quattro S line Black tiptronic|AUDI Q8|               1612600|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004097300
4MN0X2_E02|Audi Q8 55 TFSI 250kW quattro S line Platinum tiptronic|AUDI Q8|            1608208.69|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004097300
4MN0X2|AUDI Q8 55TFSI QUATTRO|AUDI Q8|            1521123.04|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004097300
4MNRV2|Audi RS Q8 441kW quattro tiptronic|AUDI RSQ8|            2402521.74|A|Hatch Back|20240403|99991231|2023|N|Y|N|0004097410
4MNRV2|AUDI RSQ8 TFSI 441KW QUATTRO|AUDI RSQ8|            2375073.74|A|Hatch Back|20240402|99991231|2024|N|Y|N|0004097410
4NCSSA|Audi S8  TFSI 420 kW quattro tiptronic|AUDI A8|            2473304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004093204
4NCSSA|Audi S8  TFSI 420 kW quattro tiptronic|AUDI A8|            2473304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004093204
4S30BE|Audi R8 Coupé V10 Plus 5.2 FSI 449kW quattro S tronic|AUDI R8 COUPE|            2817391.30|A|COUPE WITH CLOS|20191031|99991231|2017|N|Y|N|0004098251
4S30BE|Audi R8 Coupé V10 Plus 5.2 FSI 449kW quattro S tronic|AUDI R8 COUPE|            2916086.96|A|COUPE WITH CLOS|20200723|99991231|2018|N|Y|N|0004098251
4SPRBE|Audi R8 Coupe V10 performance 449kW quattro S tronic|AUDI R8 COUPE|            3142434.78|A|Coupe with clos|20240402|99991231|2023|N|Y|N|0004098252
4SPRBE|AUDI R8 COUPÉ V10 PERFORMANCE|AUDI R8 COUPE|            3110460.78|A|Coupe with clos|20240402|99991231|2024|N|Y|N|0004098252
4SRRBE|Audi R8 Spyder V10 performance 449kW quattro S tronic|AUDI R8 SPYDER|            3383304.35|A|Coupe with open|20240402|99991231|2023|N|Y|N|0004098333
4SRRBE|AUDI R8 SPYDER V10 PERFORMANCE|AUDI R8 SPYDER|            3351330.35|A|Coupe with open|20240402|99991231|2024|N|Y|N|0004098333
6RS2A4|Polo Vivo Hatch 1.4 55kW Trendline|POLO VIVO NF|             228434.78|V|Hatch Back|20240402|99991231|2024|N|Y|N|0064020700
6RS2A4_E21||POLO VIVO NF|             225739.13|V|Hatch Back|20240402|99991231|2024|N|Y|N|0064020700
6RS2A4|Polo Vivo Hatch 1.4 55kW Trendline|POLO VIVO NF|             225739.13|V|Hatch Back|20240402|99991231|2023|N|Y|N|0064020700
6RS2K4|Polo Vivo Hatch 1.4 63kW Comfortline|POLO VIVO NF|             247130.43|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064020720
6RS2K4|Polo Vivo Hatch 1.4 63kW Comfortline|POLO VIVO NF|             244869.57|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064020720
6RS2L3|Polo Vivo Hatch 1.6 77kW Comfortline Tiptronic|POLO VIVO NF|             274347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064020750
6RS2L3_E20||POLO VIVO NF|              272608.7|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064020750
6RS2L3|Polo Vivo Hatch 1.6 77kW Comfortline Tiptronic|POLO VIVO NF|             272608.70|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064020750
6RS3L4|Polo Vivo Hatch 1.6 77kW Highline|POLO VIVO NF|             272434.78|V|Hatch Back|20240402|99991231|2024|N|Y|N|0064020760
6RS3L4|Polo Vivo Hatch 1.6 77kW Highline|POLO VIVO NF|             272434.78|V|Hatch Back|20240402|99991231|2023|N|Y|N|0064020760
6RSBDX|Polo Vivo Hatch 1.0 81kW TSI GT|POLO VIVO NF|             304956.52|V|Hatch Back|20240402|99991231|2024|N|Y|N|0064020650
6RSBDX|Polo Vivo Hatch 1.0 81kW TSI GT|POLO VIVO NF|             304956.52|V|Hatch Back|20240402|99991231|2023|N|Y|N|0064020650
8RB0MY|AUDI Q5 2.0 TDI Q S TRONIC|AUDI Q5|             389230.43|A|S/WAGON|20190118|99991231|2016|N|Y|N|0004054311
8RB0MY|AUDI Q5 2.0 TDI Q S TRONIC|AUDI Q5|             389230.43|A|S/WAGON|20190118|99991231|2015|N|Y|N|0004054311
8UGAAY|Audi Q3 2.0 TDI 135kW quattro S tronic|AUDI Q3|             528260.87|A|STATION WAGON|20190404|99991231|2017|N|Y|N|0004035401
8UGAAY|Audi Q3 2.0 TDI 135kW quattro S tronic|AUDI Q3|             544782.61|A|STATION WAGON|20190404|99991231|2018|N|Y|N|0004035401
8UGAKX|Audi Q3 1.4 TFSI 110kW S tronic|AUDI Q3|             449130.43|A|STATION WAGON|20190404|99991231|2017|N|Y|N|0004035110
8UGAKX|Audi Q3 1.4 TFSI 110kW S tronic|AUDI Q3|             463043.48|A|STATION WAGON|20190404|99991231|2018|N|Y|N|0004035110
8UGALG|Audi Q3 2.0 TDI 110kW S tronic|AUDI Q3|             463043.48|A|STATION WAGON|20190404|99991231|2017|N|Y|N|0004035330
8UGALG|Audi Q3 2.0 TDI 110kW S tronic|AUDI Q3|             477391.30|A|STATION WAGON|20190404|99991231|2018|N|Y|N|0004035330
8UGR7Y|Audi RS Q3 2.5 TFSI 250kW quattro S tronic|AUDI RSQ3|             773913.04|A|STATION WAGON|20190404|99991231|2017|N|Y|N|0004035501
8UGR7Y|Audi RS Q3 2.5 TFSI 250kW quattro S tronic|AUDI RSQ3|             773913.04|A|STATION WAGON|20190404|99991231|2018|N|Y|N|0004035501
8WCA9G|Audi A4 Sedan 35 TFSI 110 kW S tronic|AUDI A4 SEDAN|             673739.13|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042650
8WCA9G|Audi A4 Sedan 35 TFSI 110 kW S tronic|AUDI A4 SEDAN|             660434.78|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042650
8WCABG|Audi A4 Sedan 35 TDI 110 kW S tronic|AUDI A4 SEDAN|             700695.65|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042711
8WCABG|Audi A4 Sedan 35 TDI 110 kW S tronic|AUDI A4 SEDAN|             714782.61|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042711
8WCADG|Audi A4 Sedan 40 TFSI 140 kW S tronic|AUDI A4 SEDAN|             710000.00|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042666
8WCADG|Audi A4 Sedan 40 TFSI 140 kW S tronic|AUDI A4 SEDAN|             724173.91|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042666
8WCB9G|Audi A4 Sedan 35 TFSI 110kW Advanced S tronic|AUDI A4 SEDAN|             676956.52|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042655
8WCB9G|Audi A4 Sedan 35 TFSI 110kW Advanced S tronic|AUDI A4 SEDAN|             686782.61|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042655
8WCBBG|Audi A4 Sedan 35 TDI 110kW Advanced S tronic|AUDI A4 SEDAN|             717217.39|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042716
8WCBBG|Audi A4 Sedan 35 TDI 110kW Advanced S tronic|AUDI A4 SEDAN|             727826.09|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042716
8WCBDG|Audi A4 Sedan 40 TFSI 140kW Advanced S tronic|AUDI A4 SEDAN|             726521.74|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042671
8WCBDG|Audi A4 Sedan 40 TFSI 140kW Advanced S tronic|AUDI A4 SEDAN|             737217.39|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042671
8WCC9G|AUDI A4 35 TFSI 110KW S LINE|AUDI A4 SEDAN|             699826.09|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004042660
8WCC9G_E01|Audi A4 35 TFSI 110kW Black Edition|AUDI A4 SEDAN|             732521.74|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004042660
8WCC9G_E04||AUDI A4 SEDAN|             732521.74|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004042660
8WCC9G|AUDI A4 35 TFSI 110KW S LINE|AUDI A4 SEDAN|             683217.39|A|SEDAN WITH CLOSED TO|20230214|99991231|2023|N|Y|N|0004042660
8WCC9G_E01|Audi A4 Sedan 35 TFSI S line 110kW Sport Edition|AUDI A4 SEDAN|             713652.17|A|SEDAN WITH CLOSED TO|20230214|99991231|2023|N|Y|N|0004042660
8WCCBG|Audi A4 Sedan 35 TDI 110kW S line S tronic|AUDI A4 SEDAN|             739826.09|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042721
8WCCBG_E01|Audi A4 Sedan 35 TDI S line 110kW Sport Edition|AUDI A4 SEDAN|             770260.87|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042721
8WCCBG|Audi A4 Sedan 35 TDI 110kW S line S tronic|AUDI A4 SEDAN|             740869.57|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042721
8WCCBG_E01|Audi A4 35 TDI 110kW Black Edition|AUDI A4 SEDAN|             773565.22|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042721
8WCCBG_E04||AUDI A4 SEDAN|             773565.22|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042721
8WCCDG|Audi A4 Sedan 40 TFSI 140kW S line S tronic|AUDI A4 SEDAN|             749130.43|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042677
8WCCDG_E01|Audi A4 Sedan 40 TFSI S line 140kW Sport Edition|AUDI A4 SEDAN|             775217.39|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042677
8WCCDG|Audi A4 Sedan 40 TFSI 140kW S line S tronic|AUDI A4 SEDAN|             750260.87|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042677
8WCCDG_E01|Audi A4 40 TFSI 140kW Black Edition|AUDI A4 SEDAN|              778608.7|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042677
8WCCDG_E04||AUDI A4 SEDAN|              778608.7|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042677
8WCS4A|Audi S4 Sedan TFSI 260kW quattro tiptronic|AUDI A4 SEDAN|             971565.22|A|Sedan with clos|20240402|99991231|2023|N|Y|N|0004042801
8WCS4A|Audi S4 Sedan TFSI 260kW quattro tiptronic|AUDI A4 SEDAN|             981217.39|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042801
8WCS4A_E05||AUDI A4 SEDAN|            1120782.61|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042801
8WCS4A_E22|Audi S4 TFSI 260kW Black Edition|AUDI A4 SEDAN|            1120782.61|A|Sedan with clos|20240402|99991231|2024|N|Y|N|0004042801
8WDRXA|Audi RS 4 Avant 331kW quattro tiptronic|AUDI RS4 AVANT|            1345304.35|A|Station wagon|20240402|99991231|2024|N|Y|N|0004042851
8WDRXA|Audi RS 4 Avant 331kW quattro tiptronic|AUDI RS4 AVANT|            1345304.35|A|Station wagon|20240402|99991231|2023|N|Y|N|0004042851
8YAACW|Audi A3 Sportback 35 TFSI 110kW tiptronic|AUDI A3 SPORTBACK|             593130.43|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031150
8YAACW|Audi A3 Sportback 35 TFSI 110kW tiptronic|AUDI A3 SPORTBACK|             593130.43|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031150
8YAACW_E01||AUDI A3 SPORTBACK|             642260.87|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031150
8YAACW_E18|Audi A3 Sportback 35 TFSI 110kW Urban Edition|AUDI A3 SPORTBACK|             642260.87|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031150
8YABCW|Audi A3 Sportback 35 TFSI 110kW Advanced tiptronic|AUDI A3 SPORTBACK|             614869.57|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031155
8YABCW|Audi A3 Sportback 35 TFSI 110kW Advanced tiptronic|AUDI A3 SPORTBACK|             614869.57|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031155
8YACCW|Audi A3 Sportback 35 TFSI 110kW S line tiptronic|AUDI A3 SPORTBACK|             627913.04|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031160
8YACCW|Audi A3 Sportback 35 TFSI 110kW S line tiptronic|AUDI A3 SPORTBACK|             627913.04|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031160
8YACCW_E02||AUDI A3 SPORTBACK|             688086.96|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031160
8YACCW_E21|Audi A3 Sportback 35 TFSI 110kW Black Edition|AUDI A3 SPORTBACK|             688086.96|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031160
8YACHG|Audi A3 Sportback 40 TFSI 140kW S line S tronic|AUDI A3 SPORTBACK|             675391.30|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031210
8YACHG|Audi A3 Sportback 40 TFSI 140kW S line S tronic|AUDI A3 SPORTBACK|             675391.30|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031210
8YARWY|Audi RS 3 Sportback TFSI 294kW quattro S tronic|AUDI RS3 SPORTBACK|            1157217.39|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031270
8YARWY|Audi RS 3 Sportback TFSI 294kW quattro S tronic|AUDI RS3 SPORTBACK|            1157217.39|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031270
8YAS2Y|Audi S3 Sportback TFSI 213kW quattro S tronic|AUDI A3 SPORTBACK|             808956.52|A|HATCH BACK|20240402|99991231|2023|N|Y|N|0004031250
8YAS2Y|Audi S3 Sportback TFSI 213kW quattro S tronic|AUDI A3 SPORTBACK|             808956.52|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031250
8YAS2Y_E03||AUDI A3 SPORTBACK|             948695.65|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031250
8YAS2Y_E20|Audi S3 Sportback TFSI 213kW Black Edition|AUDI A3 SPORTBACK|             948695.65|A|HATCH BACK|20240402|99991231|2024|N|Y|N|0004031250
8YSACW|Audi A3 Sedan 35 TFSI 110kW tiptronic|AUDI A3 SEDAN|             606173.91|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031350
8YSACW|Audi A3 Sedan 35 TFSI 110kW tiptronic|AUDI A3 SEDAN|             606173.91|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031350
8YSACW_E01||AUDI A3 SEDAN|             655304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031350
8YSACW_E18|Audi A3 Sedan 35 TFSI 110kW Urban Edition|AUDI A3 SEDAN|             655304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031350
8YSBCW|Audi A3 Sedan 35 TFSI 110kW Advanced tiptronic|AUDI A3 SEDAN|             627913.04|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031355
8YSBCW|Audi A3 Sedan 35 TFSI 110kW Advanced tiptronic|AUDI A3 SEDAN|             627913.04|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031355
8YSCCW|Audi A3 Sedan 35 TFSI 110kW S line tiptronic|AUDI A3 SEDAN|             640956.52|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031360
8YSCCW|Audi A3 Sedan 35 TFSI 110kW S line tiptronic|AUDI A3 SEDAN|             640956.52|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031360
8YSCCW_E02||AUDI A3 SEDAN|             701130.43|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031360
8YSCCW_E21|Audi A3 Sedan 35 TFSI 110kW Black Edition|AUDI A3 SEDAN|             701130.43|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031360
8YSCHG|Audi A3 Sedan 40 TFSI 140kW S line S tronic|AUDI A3 SEDAN|             688434.78|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031410
8YSCHG|Audi A3 Sedan 40 TFSI 140kW S line S tronic|AUDI A3 SEDAN|             688434.78|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031410
8YSRWY|Audi RS 3 Sedan TFSI 294kW quattro S tronic|AUDI RS3 SEDAN|            1183304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031470
8YSRWY|Audi RS 3 Sedan TFSI 294kW quattro S tronic|AUDI RS3 SEDAN|            1183304.35|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031470
8YSS2Y|Audi S3 Sedan TFSI 213kW quattro S tronic|AUDI A3 SEDAN|             822000.00|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031450
8YSS2Y_E03||AUDI A3 SEDAN|             961739.13|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031450
8YSS2Y_E20|Audi S3 Sedan TFSI 213kW Black Edition|AUDI A3 SEDAN|             961739.13|A|SEDAN WITH CLOSED TO|20240402|99991231|2024|N|Y|N|0004031450
8YSS2Y|Audi S3 Sedan TFSI 213kW quattro S tronic|AUDI A3 SEDAN|             822000.00|A|SEDAN WITH CLOSED TO|20240402|99991231|2023|N|Y|N|0004031450
AE12JV|Polo 1.0 TSI 70kW Polo Manual|POLO PA|             307130.43|V|HATCH BACK|20240503|99991231|2024|N|Y|N|0064027662
AE12JV|Polo 1.0 TSI 70kW Polo Manual|POLO PA|             306260.87|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064027662
AE13JV|Polo 1.0 TSI 70kW Life Manual|POLO PA|             344782.61|V|HATCH BACK|20240503|99991231|2024|N|Y|N|0064027665
AE13JV|Polo 1.0 TSI 70kW Life Manual|POLO PA|             343913.04|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064027665
AE13KZ|Polo 1.0 TSI 85kW Life DSG|POLO PA|             364956.52|V|HATCH BACK|20240503|99991231|2024|N|Y|N|0064027671
AE13KZ|Polo 1.0 TSI 85kW Life DSG|POLO PA|             364086.96|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064027671
AE15KZ|Polo 1.0 TSI 85kW R-Line DSG|POLO PA|             407652.17|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064027685
AE15KZ|Polo 1.0 TSI 85kW R-Line DSG|POLO PA|             407652.17|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064027685
AE19TY|Polo 2.0 GTI 147kW DSG|POLO PA|             479043.48|V|HATCH BACK|20240503|99991231|2024|N|Y|N|0064027892
AE19TY|Polo 2.0 GTI 147kW DSG|POLO PA|             478173.91|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064027892
AX12N6|TIGUAN 1.4 TSI 110KW DSG|TIGUAN FL|             546347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078086
AX12N6_E16||TIGUAN FL|             546347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078086
AX12N6_E17|Tiguan 1.4 TSI 110kW Tiguan DSG|TIGUAN FL|             546347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078086
AX12N6|TIGUAN 1.4 TSI 110KW DSG|TIGUAN FL|             546347.83|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078086
AX12N6_E01|Tiguan 1.4 TSI 110kW Tiguan DSG|TIGUAN FL|             546347.83|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078086
AX13N6|TIGUAN 1.4 TSI 110KW LIFE DSG|TIGUAN FL|             610347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078097
AX13N6_E05|Tiguan 1.4 TSI 110kW Life DSG|TIGUAN FL|             610347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078097
AX13N6_E15||TIGUAN FL|             610347.83|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078097
AX13N6|TIGUAN 1.4 TSI 110KW LIFE DSG|TIGUAN FL|             610347.83|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078097
AX13N6_E02|Tiguan 1.4 TSI 110kW Life DSG|TIGUAN FL|             610347.83|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078097
AX1570|TIGUAN 2.0 TDI 130KW RL DSG|TIGUAN FL|             736695.65|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078400
AX1570_E08|Tiguan 2.0 TDI 130kW 4M R-Line DSG|TIGUAN FL|             736695.65|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078400
AX1570_E14||TIGUAN FL|             736695.65|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078400
AX1570|TIGUAN 2.0 TDI 130KW RL DSG|TIGUAN FL|             736695.65|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078400
AX1570_E04|Tiguan 2.0 TDI 130kW 4M R-Line DSG|TIGUAN FL|             736695.65|V|HATCH BACK|20240402|99991231|2023|N|Y|N|0064078400
AX15N6|TIGUAN 1.4 TSI 110KW R-LINE DS|TIGUAN FL|             669739.13|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078120
AX15N6_E06|Tiguan 1.4 TSI 110kW R-Line DSG|TIGUAN FL|             669739.13|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078120
AX15N6_E13||TIGUAN FL|             669739.13|V|HATCH BACK|20240402|99991231|2024|N|Y|N|0064078120
